state,industry,recent_3yr,count_2023,count_2025,growth_2023_2025_pct,lq,scale_pct,momentum_pct,specialisation_pct,hotspot_score
West Bengal,Human Resources,50,15,20,15.47,0.55,23.55,41.08,1.29,21.97333333333333
Andhra Pradesh,Marketing,32,9,12,15.47,0.81,3.38,41.08,20.58,21.68
Gujarat,Aeronautics Aerospace & Defence,92,38,32,-8.23,0.69,49.68,6.91,8.2,21.596666666666668
Uttarakhand,Renewable Energy,33,14,9,-19.82,1.05,4.82,2.89,56.11,21.273333333333333
West Bengal,Automotive,64,23,21,-4.45,0.76,35.45,9.49,16.24,20.39333333333333
Telangana,Non-Renewable Energy,39,18,6,-42.26,0.99,12.86,0.8,46.78,20.14666666666667
Madhya Pradesh,Transportation & Storage,41,14,16,6.9,0.8,14.47,25.8,19.77,20.013333333333332
Rajasthan,Automotive,70,25,23,-4.08,0.7,39.55,10.21,9.81,19.856666666666666
Uttar Pradesh,Non-Renewable Energy,60,33,16,-30.37,0.85,32.15,1.29,26.05,19.83
Tamil Nadu,Sports,33,9,12,15.47,0.74,4.82,41.08,13.5,19.799999999999997
Tamil Nadu,Real Estate,75,22,20,-4.65,0.67,42.12,9.32,7.07,19.50333333333333
Madhya Pradesh,Marketing,52,19,18,-2.67,0.79,25.56,12.86,18.49,18.97
Karnataka,Social Impact,44,15,19,12.55,0.61,18.01,34.0,4.34,18.78333333333333
Punjab,Professional & Commercial Services,55,20,18,-5.13,0.79,28.86,8.84,18.33,18.676666666666666
Gujarat,Telecommunication & Networking,58,20,19,-2.53,0.7,31.11,13.26,9.32,17.896666666666665
Kerala,Human Resources,58,20,21,2.47,0.59,31.11,18.41,3.7,17.740000000000002
Jharkhand,Healthcare & Lifesciences,71,28,20,-15.48,0.69,39.95,4.34,8.04,17.443333333333335
Tamil Nadu,Security Solutions,52,16,18,6.07,0.56,25.56,24.52,2.09,17.389999999999997
Odisha,Automotive,37,16,15,-3.18,0.86,10.61,12.06,29.26,17.31
Rajasthan,Security Solutions,43,17,12,-15.98,0.87,16.8,4.02,29.9,16.906666666666666
Maharashtra,Others,37,37,0,-100.0,0.92,10.61,0.24,38.1,16.316666666666666
Tamil Nadu,Social Impact,46,16,13,-9.86,0.78,19.86,5.79,17.85,14.5
Punjab,Human Resources,30,12,10,-8.71,0.9,0.88,6.51,35.53,14.306666666666667
Gujarat,Internet of Things,52,20,14,-16.33,0.72,25.56,3.86,11.74,13.719999999999999
Gujarat,Advertising,49,19,18,-2.67,0.56,22.19,12.86,2.25,12.433333333333334
Telangana,Security Solutions,49,19,16,-8.23,0.68,22.19,6.91,7.4,12.166666666666666
Gujarat,Sports,38,14,14,0.0,0.65,11.82,15.76,5.31,10.963333333333333
Bihar,Technology Hardware,52,22,15,-17.43,0.51,25.56,3.54,0.64,9.913333333333332
Gujarat,Robotics,33,11,11,0.0,0.67,4.82,15.76,6.91,9.163333333333332
Uttar Pradesh,Indic Language Startups,31,13,9,-16.79,0.8,2.33,3.7,20.1,8.71
Uttar Pradesh,Toys and Games,35,15,12,-10.56,0.71,8.04,5.63,10.93,8.2
Odisha,Fashion,33,11,6,-26.15,0.78,4.82,1.61,17.36,7.93
Maharashtra,AR VR (Augmented + Virtual Reality),40,20,13,-19.38,0.66,13.67,3.05,6.27,7.663333333333333
Uttar Pradesh,Analytics,33,15,8,-26.97,0.7,4.82,1.45,9.0,5.09
Delhi,Non-Renewable Energy,31,11,8,-14.72,0.54,2.33,4.66,1.13,2.7066666666666666
Karnataka,Non-Renewable Energy,31,12,7,-23.62,0.49,2.33,2.25,0.48,1.6866666666666665
